episode,time_s,vehicle_id,position_m,speed_mps,lane,tail_pos_m,rear_pos_m,queue_length_m,ttc_conflicts
1,30.00,car_flow_E#10.0,16.647,11.808,0,,260.000,0.000,2
1,35.00,car_flow_E#10.0,75.983,11.970,0,,260.000,0.000,2
1,35.00,car_flow_E#10.1,39.316,15.154,1,,260.000,0.000,2
1,40.00,car_flow_E#10.0,135.308,11.714,0,,260.000,0.000,4
1,40.00,car_flow_E#10.1,114.990,15.210,1,,260.000,0.000,4
1,45.00,car_flow_E#10.2,7.147,12.483,0,,260.000,0.000,3
1,45.00,car_flow_E#10.0,194.533,11.848,0,,260.000,0.000,3
1,45.00,car_flow_E#10.1,190.562,15.076,1,,260.000,0.000,3
1,50.00,car_flow_E#10.2,69.117,12.495,0,,260.000,0.000,2
1,50.00,car_flow_E#10.0,253.887,11.798,0,,260.000,0.000,2
1,50.00,car_flow_E#10.3,64.256,14.073,1,,260.000,0.000,2
1,50.00,car_flow_E#10.1,236.335,9.335,1,,260.000,0.000,2
1,55.00,car_flow_E#10.4,5.736,14.378,0,,260.000,0.000,2
1,55.00,car_flow_E#10.2,131.051,12.260,0,,260.000,0.000,2
1,55.00,car_flow_E#10.0,313.056,11.954,0,,260.000,0.000,2
1,55.00,car_flow_E#10.3,134.040,13.874,1,,260.000,0.000,2
1,55.00,car_flow_E#10.1,306.095,15.066,1,,260.000,0.000,2
1,60.00,car_flow_E#10.5,9.220,14.092,0,,260.000,0.000,0
1,60.00,car_flow_E#10.4,77.605,14.302,0,,260.000,0.000,0
1,60.00,car_flow_E#10.2,192.898,12.409,0,,260.000,0.000,0
1,60.00,car_flow_E#10.0,360.489,3.791,0,,260.000,0.000,0
1,60.00,car_flow_E#10.3,166.490,2.985,1,,260.000,0.000,0
1,60.00,car_flow_E#10.1,360.106,4.076,1,,260.000,0.000,0
1,65.00,car_flow_E#10.6,37.410,13.384,0,,260.000,0.000,2
1,65.00,car_flow_E#10.5,79.083,13.973,0,,260.000,0.000,2
1,65.00,car_flow_E#10.4,149.372,14.384,0,,260.000,0.000,2
1,65.00,car_flow_E#10.2,254.765,12.440,0,,260.000,0.000,2
1,65.00,car_flow_E#10.8,2.381,16.007,1,,260.000,0.000,2
1,65.00,car_flow_E#10.7,45.103,16.124,1,,260.000,0.000,2
1,65.00,car_flow_E#10.3,183.413,6.259,1,,260.000,0.000,2
1,65.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,2
1,70.00,car_flow_E#10.9,16.669,13.194,0,,260.000,0.000,2
1,70.00,car_flow_E#10.6,104.203,13.287,0,,260.000,0.000,2
1,70.00,car_flow_E#10.5,149.001,14.117,0,,260.000,0.000,2
1,70.00,car_flow_E#10.4,221.300,14.497,0,,260.000,0.000,2
1,70.00,car_flow_E#10.2,316.542,12.293,0,,260.000,0.000,2
1,70.00,car_flow_E#10.8,81.905,15.749,1,,260.000,0.000,2
1,70.00,car_flow_E#10.7,125.553,16.176,1,,260.000,0.000,2
1,70.00,car_flow_E#10.3,240.755,13.914,1,,260.000,0.000,2
1,70.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,2
1,75.00,car_flow_E#10.9,83.125,13.337,0,,260.000,0.000,4
1,75.00,car_flow_E#10.6,171.105,13.375,0,,260.000,0.000,4
1,75.00,car_flow_E#10.5,218.887,13.955,0,,260.000,0.000,4
1,75.00,car_flow_E#10.4,293.026,14.236,0,,260.000,0.000,4
1,75.00,car_flow_E#10.8,146.379,8.749,1,,260.000,0.000,4
1,75.00,car_flow_E#10.7,169.682,5.489,1,,260.000,0.000,4
1,75.00,car_flow_E#10.3,310.829,14.116,1,,260.000,0.000,4
1,75.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,4
1,80.00,car_flow_E#10.9,149.554,13.290,0,,260.000,0.000,4
1,80.00,car_flow_E#10.6,237.938,13.442,0,,260.000,0.000,4
1,80.00,car_flow_E#10.5,288.741,14.028,0,,260.000,0.000,4
1,80.00,car_flow_E#10.4,354.830,6.933,0,,260.000,0.000,4
1,80.00,car_flow_E#10.8,167.063,2.906,1,,260.000,0.000,4
1,80.00,car_flow_E#10.7,190.444,6.557,1,,260.000,0.000,4
1,80.00,car_flow_E#10.3,352.549,3.145,1,,260.000,0.000,4
1,80.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,4
1,85.00,car_flow_E#10.11,7.716,14.161,0,,260.000,0.000,1
1,85.00,car_flow_E#10.10,52.864,12.523,0,,260.000,0.000,1
1,85.00,car_flow_E#10.9,216.055,13.296,0,,260.000,0.000,1
1,85.00,car_flow_E#10.6,304.805,13.201,0,,260.000,0.000,1
1,85.00,car_flow_E#10.5,344.736,6.156,0,,260.000,0.000,1
1,85.00,car_flow_E#10.4,362.519,0.000,0,,260.000,0.000,1
1,85.00,car_flow_E#10.8,184.199,6.506,1,,260.000,0.000,1
1,85.00,car_flow_E#10.7,250.669,16.115,1,,260.000,0.000,1
1,85.00,car_flow_E#10.3,356.889,0.032,1,,260.000,0.000,1
1,85.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,1
1,90.00,car_flow_E#10.11,78.028,14.166,0,,260.000,0.000,2
1,90.00,car_flow_E#10.10,115.833,12.673,0,,260.000,0.000,2
1,90.00,car_flow_E#10.9,282.346,13.166,0,,260.000,0.000,2
1,90.00,car_flow_E#10.6,344.566,3.333,0,,260.000,0.000,2
1,90.00,car_flow_E#10.5,355.850,0.201,0,,260.000,0.000,2
1,90.00,car_flow_E#10.4,362.519,0.000,0,,260.000,0.000,2
1,90.00,car_flow_E#10.8,244.598,15.962,1,,260.000,0.000,2
1,90.00,car_flow_E#10.7,324.156,10.536,1,,260.000,0.000,2
1,90.00,car_flow_E#10.3,356.918,0.000,1,,260.000,0.000,2
1,90.00,car_flow_E#10.1,363.419,0.000,1,,260.000,0.000,2
1,95.00,car_flow_E#10.11,148.038,14.058,0,,260.000,0.000,2
1,95.00,car_flow_E#10.10,178.813,12.718,0,,260.000,0.000,2
1,95.00,car_flow_E#10.9,339.159,9.829,0,,260.000,0.000,2
1,95.00,car_flow_E#10.6,362.964,7.464,0,,260.000,0.000,2
1,95.00,car_flow_E#10.8,316.031,11.372,1,,260.000,0.000,2
1,95.00,car_flow_E#10.7,349.234,5.988,1,,260.000,0.000,2
1,100.00,car_flow_E#10.11,217.234,13.513,0,,260.000,0.000,2
1,100.00,car_flow_E#10.10,241.687,12.629,0,,260.000,0.000,2
1,100.00,car_flow_E#10.9,362.519,0.000,0,,260.000,0.000,2
1,100.00,car_flow_E#10.12,48.373,13.164,1,,260.000,0.000,2
1,100.00,car_flow_E#10.8,352.729,2.794,1,,260.000,0.000,2
1,100.00,car_flow_E#10.7,362.519,0.000,1,,260.000,0.000,2
1,105.00,car_flow_E#10.11,282.983,13.022,0,,260.000,0.000,3
1,105.00,car_flow_E#10.10,304.637,12.645,0,,260.000,0.000,3
