model,seed,vehicle_id,vClass,depart_time,arrival_time,duration_s,waiting_time_s,time_loss_s,route_length_m
SUMO_Default,11,car_flow_WEST_E#6.0,car,0.00,25.20,25.20,0.00,5.17,214.25
SUMO_Default,11,car_flow_turn_E#13.0,car,2.40,30.00,27.60,0.00,4.88,214.25
SUMO_Default,11,car_flow_WEST_E#6.1,car,4.80,33.40,28.60,0.00,5.07,214.25
SUMO_Default,11,car_flow_turn_E#13.1,car,7.00,35.80,28.80,0.00,5.89,214.25
SUMO_Default,11,car_flow_WEST_E#6.2,car,12.40,39.20,26.80,0.00,5.05,214.25
SUMO_Default,11,car_flow_turn_E#13.2,car,19.40,46.00,26.60,0.00,4.75,214.25
SUMO_Default,11,car_flow_south_left.0,car,17.20,46.80,29.60,0.00,7.06,541.79
SUMO_Default,11,car_flow_south_left.1,car,19.40,49.00,29.60,0.00,7.17,541.79
SUMO_Default,11,car_flow_turn_E#13.3,car,22.40,49.40,27.00,0.00,5.18,214.25
SUMO_Default,11,car_flow_turn_E#13.4,car,24.60,53.00,28.40,0.00,5.05,214.25
SUMO_Default,11,car_flow_south_left.2,car,21.80,53.20,31.40,0.00,6.29,541.79
SUMO_Default,11,car_flow_WEST_E#6.3,truck,28.00,56.40,28.40,0.00,8.64,206.25
SUMO_Default,11,car_flow_E#10.0,car,1.60,57.00,55.40,0.00,5.84,888.90
SUMO_Default,11,car_flow_South_Right.0,car,7.80,60.40,52.60,0.00,9.45,700.86
SUMO_Default,11,car_flow_south_left.3,car,29.00,60.40,31.40,0.00,5.76,541.79
SUMO_Default,11,car_flow_turn_E#13.5,car,31.40,60.60,29.20,0.00,8.14,214.25
SUMO_Default,11,car_flow_south_left.4,car,32.00,62.00,30.00,0.00,8.54,541.79
SUMO_Default,11,car_flow_south_left.5,car,34.20,63.40,29.20,0.00,8.31,541.79
SUMO_Default,11,car_flow_turn_E#13.6,car,33.60,64.20,30.60,0.00,6.94,214.25
SUMO_Default,11,car_flow_South_Right.1,car,14.20,65.20,51.00,0.00,9.94,700.86
SUMO_Default,11,car_flow_turn_E#10.0,car,8.80,66.60,57.80,0.00,5.89,888.41
SUMO_Default,11,car_flow_WEST_E#6.4,car,37.80,66.60,28.80,0.00,6.02,214.25
SUMO_Default,11,car_flow_E#10.2,car,12.80,68.00,55.20,0.00,6.33,888.90
SUMO_Default,11,car_flow_south_left.6,car,38.80,68.80,30.00,0.00,9.68,541.79
SUMO_Default,11,car_flow_WEST_E#6.5,car,41.00,68.80,27.80,0.00,6.81,214.25
SUMO_Default,11,car_flow_turn_E#13.7,car,43.20,71.60,28.40,0.00,6.30,214.25
SUMO_Default,11,car_flow_turn_E#13.8,car,45.40,73.80,28.40,0.00,7.44,214.25
SUMO_Default,11,car_flow_turn_E#10.1,car,17.80,75.00,57.20,0.00,6.03,888.41
SUMO_Default,11,car_flow_south_left.7,car,43.20,75.40,32.20,0.00,5.97,541.79
SUMO_Default,11,car_flow_South_Right.2,car,21.60,76.20,54.60,0.00,10.28,700.86
SUMO_Default,11,car_flow_south_left.8,car,45.40,76.60,31.20,0.00,9.58,541.79
SUMO_Default,11,car_flow_E#10.1,car,8.40,77.00,68.60,0.00,5.02,888.90
SUMO_Default,11,car_flow_E#10.3,car,15.00,77.40,62.40,0.00,5.14,888.90
SUMO_Default,11,car_flow_South_Right.3,car,26.00,78.40,52.40,0.00,12.37,700.86
SUMO_Default,11,car_flow_E#10.4,car,24.00,79.20,55.20,0.00,6.23,888.90
SUMO_Default,11,car_flow_WEST_E#6.6,car,55.00,82.80,27.80,0.00,4.27,214.25
SUMO_Default,11,car_flow_turn_E#13.9,car,57.80,85.00,27.20,0.00,6.04,214.25
SUMO_Default,11,car_flow_turn_E#10.2,car,28.20,87.00,58.80,0.00,5.97,888.41
SUMO_Default,11,car_flow_turn_E#10.3,car,35.20,88.40,53.20,0.00,8.98,888.41
SUMO_Default,11,car_flow_turn_E#13.10,car,61.80,88.60,26.80,0.00,5.09,214.25
SUMO_Default,11,car_flow_E#10.5,car,26.20,89.80,63.60,0.00,5.11,888.90
SUMO_Default,11,car_flow_south_left.9,truck,53.20,90.00,36.80,0.00,12.63,533.79
SUMO_Default,11,car_flow_south_left.10,car,58.40,91.40,33.00,0.00,9.21,541.79
SUMO_Default,11,car_flow_E#10.7,car,41.00,92.60,51.60,0.00,6.74,888.90
SUMO_Default,11,car_flow_turn_E#13.11,car,65.80,94.40,28.60,0.00,4.26,214.25
SUMO_Default,11,car_flow_turn_E#10.4,car,41.40,97.40,56.00,0.00,6.10,888.41
